Open,High,Low,Close,Volume,Adj Close
157.2107519066908,158.6955800963092,155.81151782867346,157.29452903631957,27243580.531035423,160.85846
157.3396788593309,158.82440891268016,155.9396161660247,157.42284419120688,27222978.580699384,160.85846
157.46860581197143,158.95323772905158,156.067714503376,157.5511593460942,27202376.63036329,160.85846
157.59753276461151,159.082066545423,156.19581284072729,157.67947450098154,27181774.680027246,160.85846
157.7264597172516,159.21089536179443,156.32391117807856,157.80778965586887,27161172.729691148,160.85846
157.85538666989214,159.3397241781654,156.45200951542984,157.9361048107562,27140570.77935511,160.85846
157.98431362253223,159.46855299453682,156.5801078527811,158.06441996564308,27119968.82901901,160.85846
158.11324057517277,159.59738181090825,156.7082061901324,158.1927351205304,27099366.87868297,160.85846
158.24216752781285,159.72621062727967,156.83630452748366,158.32105027541775,27078764.928346872,160.85846
158.3710944804534,159.85503944365064,156.96440286483494,158.44936543030508,27058162.978010837,160.85846
158.50002143309348,159.98386826002206,157.0925012021862,158.5776805851924,27037561.02767473,160.85846
158.62894838573357,160.1126970763935,157.22059953953794,158.70599574007974,27016959.077338696,160.85846
158.7578753383741,160.24152589276446,157.34869787688922,158.83431089496708,26996357.1270026,160.85846
158.8868022910142,160.37035470913588,157.4767962142405,158.9626260498544,26975755.17666656,160.85846
159.01572924365473,160.4991835255073,157.60489455159177,159.09094120474128,26955153.22633052,160.85846
159.14465619629482,160.62801234187873,157.73299288894304,159.21925635962862,26934551.27599442,160.85846
159.2735831489349,160.7568411582497,157.86109122629432,159.34757151451595,26913949.32565838,160.85846
159.40251010157544,160.88566997462112,157.9891895636456,159.47588666940328,26893347.37532228,160.85846
159.53143705421553,161.01449879099255,158.11728790099687,159.6042018242906,26872745.424986243,160.85846
159.66036400685607,161.14332760736397,158.24538623834815,159.73251697917794,26852143.474650145,160.85846
159.78929095949616,161.27215642373494,158.37348457569942,159.86083213406528,26831541.524314106,160.85846
159.9182179121367,161.40098524010637,158.5015829130507,159.9891472889526,26810939.573978007,160.85846
160.04714486477678,161.5298140564778,158.62968125040197,160.11746244383949,26790337.623641968,160.85846
160.17607181741687,161.6586428728492,158.75777958775325,160.24577759872682,26769735.67330587,160.85846
160.3049987700574,161.78747168922018,158.88587792510452,160.37409275361415,26749133.72296983,160.85846
160.4339257226975,161.9163005055916,159.0139762624558,160.50240790850148,26728531.77263373,160.85846
160.56285267533804,162.04512932196303,159.14207459980707,160.6307230633888,26707929.82229769,160.85846
160.69177962797812,162.17395813833446,159.27017293715835,160.75903821827615,26687327.871961597,160.85846
160.8207065806182,162.30278695470545,159.39827127450965,160.88735337316348,26666725.921625555,160.85846
160.94963353325875,162.43161577107685,159.5263696118609,161.0156685280508,26646123.971289456,160.85846
